"";"x"
"ALCAM";16
"ING2";16
"RASGRP3";16
"PPP1R13L";16
"ZNF280B";16
"HMGN5";16
"RAB11B-AS1";16
"LINC00663";16
"BLK";16
"HERC5";16
"GGH";16
"GLA";16
"RP11-109G23.3";16
"MIR4458HG";16
"NEFH";16
"RP11-490O6.2";16
"IQCG";16
"MYH11";16
"ITGB3BP";16
"FAM19A2";16
"SGOL2";16
"WAC-AS1";16
"PSMC3IP";16
"RP9";16
"CCDC15";16
"RP11-231D20.2";16
"ESF1";16
"KIAA1731";16
"SYP";16
"ZMAT1";16
"NOC3L";16
"RP11-298J20.3";16
"CCDC112";16
"LINC00271";16
"ADAL";16
"TUBGCP5";16
"ASRGL1";16
"RP11-533E19.5";16
"KIAA1107";16
"RP11-418J17.1";16
"C21orf58";16
"DNAJC27";16
"RP11-395G23.3";16
"CTD-2165H16.4";16
"CATSPER2";16
"RP11-1114A5.4";16
"LINC00937";16
"RP11-166P13.3";16
"SDCCAG8";16
"HCK";16
"ZNF587B";16
"DHFR";16
"ZNF781";16
"ZCWPW1";16
"SS18L1";16
"TXLNB";16
"CCDC102B";16
"GPA33";16
"LINC01125";16
"CBR3";16
"C11orf63";16
"RNF43";16
"NARG2";16
"FANCB";16
"MAN2A2";16
"ZFP30";16
"HECTD2";16
"PRSS21";16
"RP11-867G23.8";16
"CTC-246B18.10";16
"RP5-1125A11.1";16
"ZNF587";16
"RP3-467N11.1";16
"SPINK4";16
"FBXO48";16
"DDX31";16
"TYW3";16
"RP1-43E13.2";16
"RP11-563N4.1";16
"AC009133.12";16
"UBAC2-AS1";16
"KIAA1586";16
"MTSS1";16
"CLDN3";16
"RP11-307C12.12";16
"CA11";16
"CCNE2";16
"HIST1H4E";16
"KBTBD7";16
"MYL5";16
"PLCXD1";16
"ZNF43";16
"COL6A1";16
"GKAP1";16
"MBNL1-AS1";16
"LRRC58";16
"SRBD1";16
"RP11-145M9.4";16
"AE000662.92";16
"CCDC18";16
"RP11-326C3.12";16
"CPT1A";16
"MED14-AS1";16
"TRAF3IP1";16
"EIF3J-AS1";16
"RP11-708J19.1";16
"MYH3";16
"RFX1";16
"FGF14-AS2";16
"CLOCK";16
"STX2";16
"RRP15";16
"RAB3IP";16
"IFT74";16
"IL10RB-AS1";16
"RREB1";16
"TMEM237";16
"RP5-1007M22.2";16
"ALDH6A1";16
"PI4K2B";16
"OTUD7B";16
"CCDC121";16
"HIST1H3A";16
"FRA10AC1";16
"TRIM23";16
"RNU11";16
"RNF139-AS1";16
"OTUD6B";16
"SLC4A2";16
"S100Z";16
"XRCC6BP1";16
"JRKL";16
"FAM115A";16
"RP11-430H10.1";16
"RP11-872J21.3";16
"ERBB2";16
"TMTC3";16
"RP11-977G19.11";16
"PTRH2";16
"TRIP11";16
"CTD-2506J14.1";16
"NUPR1";16
"RPP40";16
"C1orf109";16
"AC115618.1";16
"ZNF584";16
"VANGL1";16
"RP11-473M20.16";16
"KIF16B";16
"DNAJC27-AS1";16
"FBXO5";16
"TTBK2";16
"CHML";16
"ZSCAN5A";16
"ZFP28";16
"AC079922.3";16
"FRAT1";16
"HOOK1";16
"ZNF93";16
"TMEM181";16
"ULK4";16
"ZNF33B";16
"FAM227B";16
"C2orf49";16
"CCDC58";16
"CENPB";16
"ELF4";16
"PCNT";16
"RAB33B";16
"AC074138.3";16
"RP11-635N19.1";16
"CTA-292E10.6";16
"NUDT9";16
"TNRC6C";16
"ZC3H14";16
"KBTBD6";16
"ALKBH2";16
"ZNF429";16
"PLB1";16
"NUDT15";16
"MTMR3";16
"NBPF14";16
"PRR3";16
"KLF5";16
"HIST4H4";16
"ABL2";16
"FAHD1";16
"SPATA7";16
"DNAJC3-AS1";16
"PDE4C";16
"RP11-379H18.1";16
"UTP20";16
"MTURN";16
"MCC";16
"NAA60.1";16
"ZNF585A";16
"ZNF836";16
"DKFZP779L1853";16
"DBT";16
"TIGD2";16
"OXT";16
"ZBTB18";16
"ZSCAN29";16
"CTD-3131K8.2";16
"FAM117A";16
"CORO2A";16
"CCDC30";16
"PBX1";16
"ZADH2";16
"ENOSF1";16
"MDN1";16
"ZNF69";16
"SCAF8";16
"CHKB-AS1";16
"FAM213A";16
"TMEM97";16
"C17orf67";16
"DBR1";16
"ACTR3C";16
"SLC6A16";16
"ZNF268";16
"GTPBP10";16
"TCEAL8";16
"RP11-206L10.2";16
"C2orf76";16
"C16orf74";16
"RP5-1065J22.8";16
"EXPH5";16
"FGF7";16
"RAP2B";16
"PPAT";16
"DDI2";16
"AL354822.1";16
"UTP14A";16
"LIN54";16
"RP11-126K1.6";16
"PWAR6";16
"MPP5";16
"TP53BP2";16
"WDR52";16
"ADCK1";16
"RP11-573D15.9";16
"ZNF57";16
"FAM167B";16
"KPNA5";16
"PAXIP1-AS2";16
"RPRD1B";16
"GSTCD";16
"CXorf23";16
"EID2";16
"PTPRF";16
"SLC26A2";16
"HAR1A";16
"ARHGAP12";16
"RNASEH1-AS1";16
"C17orf97";16
"DGCR6";16
"SULT1A1";16
"PRKCI";16
"GTSF1";16
"IL2";17
"MYC";17
"CH25H";17
"SOD2";17
"AC020571.3";17
"LRRN3";17
"H1F0";17
"PHLDA2";17
"EGOT";17
"LMOD3";17
"SMOX";17
"FXYD1";17
"CACNA2D4";17
"RCBTB2";17
"SATB1";17
"USP36";17
"AC018816.3";17
"DNAJB4";17
"MAGI3";17
"LRP12";17
"LTK";17
"ARHGAP5";17
"RP11-326C3.2";17
"FAM101B";17
"PGLYRP2";17
"LZTS1";17
"CCR2";17
"FOXO1";17
"CD200R1";17
"ADI1";17
"KIF5C";17
"REV3L";17
"LSR";17
"GSTM3";17
"AC109826.1";17
"CCDC104";17
"LRRC8C";17
"DAPP1";17
"MXI1";17
"GOLGA8A";17
"AP000783.1";17
"ANK3";17
"ATF7IP2";17
"CYB561";17
"ACVR2A";17
"C6orf120";17
"RHPN1";17
"TOB2";17
"BTBD11";17
"HIF1A";17
"SH3TC1";17
"PTEN";17
"ARL3";17
"CFH";17
"RASSF2";17
"IGSF22";17
"SFMBT1";17
"RBMS3";17
"SLC36A4";17
"EGR1";18
"ATF3";18
"FOS";18
"SPRY1";18
"FOSB";18
